servertime,timestamp,1_CO,1_CxHy,1_HCl,1_HCOH,1_NO2,1_SO2,2_CO,2_CxHy,2_HCl,2_HCOH,2_NO2,2_SO2,3_CO,3_CxHy,3_HCl,3_HCOH,3_NO2,3_SO2,4_CO,4_CxHy,4_HCl,4_HCOH,4_NO2,4_SO2,5_CO,5_CxHy,5_HCl,5_HCOH,5_NO2,5_SO2,6_CO,6_CxHy,6_HCl,6_HCOH,6_NO2,6_SO2,7_CO,7_CxHy,7_HCl,7_HCOH,7_NO2,7_SO2,8_Cl2,8_CO,8_CxHy,8_HCOH,8_NO2,8_SO2,9_CO,9_CxHy,9_HCOH,9_HF,9_NO2,9_SO2,11_temp, 11_atmp, 11_windspeed, 11_humi, 11_precipitation, 11_winddirection, 12_temp, 12_atmp, 12_windspeed, 12_humi, 12_precipitation, 12_winddirection
2018-10-01 18:33:00,2018-10-01 18:33:00,2.375,12.656,0.019,0.006,0.027,0.112,2.711,0,0.043,0.001,0.207,0.042,2.5,39.875,0.02,0.002,0.04,0,1.246,27.125,0.009,0,-1,0,1.914,51.75,0.036,0.002,0.177,0.031,1.867,10.813,0.018,0.002,0.083,0.646,1.453,34.75,0.062,0,0.04,0.14,0.001,2.797,76,0.001,0.024,0.012,1.332,21,0.002,0.005,0.067,0.462,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2018-10-01 19:13:00,2018-10-01 19:13:00,2.359,12.125,0.011,0.005,0.03,0.111,2.844,0,0.08,0.002,0.012,0.044,2.172,38,0.009,0.003,0.044,0.001,1.172,24.688,0.012,0,-1,0,1.746,51.875,0.043,0.002,0.137,0.028,1.5,5.969,0.1,0.002,0.088,0.648,1.434,34.75,0.002,0.003,0.044,0.068,0.001,2.695,70,0.001,0.027,0.004,1.32,21,0,0.005,0.065,0.456,-2,740,1,41,0,80.000,-1,-1,-1,-1,-1,-1
2018-10-01 19:33:00,2018-10-01 19:33:00,2.367,11.875,0.005,0.006,0.023,0.112,2.734,0.105,0.063,0.002,0.027,0.061,2.117,37.75,0.007,0.001,0.041,0,1.102,22.875,0.013,0,-1,0,1.617,53.375,0.089,0.002,0.196,0.025,1.602,6.156,0.035,0.002,0.085,0.656,1.523,34.875,0.037,0.001,0.048,0.034,0.001,2.695,70,0.002,0.027,0.004,1.32,21,0.001,0,0.065,0.262,-2,740,2,41,0,56.000,-1,-1,-1,-1,-1,-1
2018-01-10 14:02:01,2018-10-01 19:53:00,2.375,11.688,0.009,0.005,0.023,0.109,2.734,0.105,0.094,0.001,0.027,0.061,2.023,37.125,0.057,0.002,0.044,0,1.066,19.625,0.009,0,-1,0,1.617,51.875,0.051,0.002,0.132,0.025,1.914,12.594,0.076,0.002,0.09,0.658,1.438,34.75,0.05,0.003,0.037,0.139,0.002,2.578,67.25,0.001,0.03,0.004,1.277,18.813,0.003,0.003,0.067,0.349,-3,740,3,43,0,40.000,-1,-1,-1,-1,-1,-1
2018-01-10 14:19:15,2018-10-01 20:13:00,2.367,11.5,0.008,0.008,0.029,0.11,2.617,0.068,0.048,0.002,0.036,0.064,2.016,36.875,0.016,0,0.041,0,1.051,18.188,0.012,0,-1,0,1.613,51.875,0.065,0,0.153,0.021,1.59,8.656,0.027,0.002,0.081,0.668,1.488,34.75,0.083,0.003,0.034,0.086,0.001,2.594,67.25,0.003,0.03,0.003,1.277,18.813,0.001,0.004,0.067,0.4,-3,740,3,43,0,19.000,-1,-1,-1,-1,-1,-1
2018-01-10 14:41:35,2018-10-01 20:33:00,2.352,11.313,0.007,0.005,0.029,0.11,2.328,0,0.061,0.001,0.009,0.051,1.934,36.5,0.08,0.001,0.047,0,1.023,16.938,0.011,0,-1,0,1.684,51.75,0.026,0,0.171,0.024,1.559,6.031,0.015,0.002,0.054,0.75,1.32,34.75,0.082,0,0.038,0.11,0.002,2.523,64.25,0.002,0.033,0.001,1.324,18.563,0,0.001,0.07,0.239,-3,740,2,43,0,37.000,-1,-1,-1,-1,-1,-1
2018-01-10 15:21:02,2018-10-01 21:13:00,2.375,11.031,0.012,0.005,0.028,0.102,4.859,0,0.058,0.002,0.078,0.142,1.895,36.125,0.015,0.001,0.047,0,0.998,16.063,0.011,0,-1,0,1.738,51.625,0.084,0.002,0.11,0.021,1.691,4.844,0.01,0.003,0.052,0.75,1.352,34.75,0.097,0.001,0.047,0.045,0.001,2.516,63.125,0,0.031,0.001,1.289,17.438,0.003,0.002,0.068,0.419,-3,740,2,43,0,61.000,-1,-1,-1,-1,-1,-1
2018-01-10 16:11:32,2018-10-01 21:53:00,2.344,10.719,0.005,0.007,0.026,0.105,3.914,0,0.039,0.001,0.004,0.151,1.871,36.375,0.011,0.001,0.046,0,0.967,14.969,0.018,0,-1,0,1.754,51.5,0.078,0.002,0.178,0.024,2.031,8.406,0.063,0.005,0.063,0.75,1.34,34.75,0.016,0.003,0.052,0.009,0.002,2.484,63.5,0.002,0.037,0,1.344,18.688,0.002,0.001,0.065,0.363,-2,738,2,41,0,63.000,-1,-1,-1,-1,-1,-1
2018-01-10 16:17:34,2018-10-01 22:13:00,2.313,10.594,0.01,0.005,0.033,0.104,0,0,0.01,0.001,0,0.144,2,37.375,0.008,0.003,0.046,0,0.953,14.438,0.014,0,-1,0,1.625,51.5,0.009,0,0.134,0.017,2.031,8.406,0.081,0.005,0.063,0.75,1.363,34.75,0.075,0.001,0.049,0.018,0.002,2.469,63.625,0.002,0.036,0,1.301,17.75,0.002,0.004,0.065,0.413,-3,738,2,41,0,132.000,-1,-1,-1,-1,-1,-1
2018-01-10 17:04:49,2018-10-01 22:53:00,2.289,10.313,0.009,0.008,0.027,0.104,3.977,0,0.03,0.002,0.03,0.104,2.297,38.5,0.079,0.002,0.049,0,0.949,14.219,0.021,0.007,-1,0,1.621,51.75,0.058,0.002,0.149,0.02,2.141,12.375,0.093,0.003,0.061,0.75,1.305,34.75,0.049,0.002,0.045,0.064,0.001,2.477,64,0.003,0.036,0,1.328,17.875,0.001,0.004,0.073,0.343,-2,738,2,40,0,32.000,-1,-1,-1,-1,-1,-1
